ENTITYID,SKU,NAME,STATUS,QTY,MSRP,MSWP,PRICE
19,a-pknmt,Aspire Premium Kit - Nautilus Mini Tank,2,0,,38,38
20,a-pkav1t,Aspire Platinum Kit - Atlantis V1 Tank,2,0,,53,53
21,a-oktv2b,Aspire Odyssey Kit - Triton V2 Brass,2,0,,53,53
22,a-oktv2c,Aspire Odyssey Kit - Triton V2 Chrome,2,0,,53,53
23,a-oktv2s,Aspire Odyssey Kit - Triton V2 Slate,2,0,,53,53
34,a-omkt2mts,Aspire Odyssey Mini Kit - Triton 2 Mini Tank - Silver,2,0,,41,41
35,a-omkt2mtb,Aspire Odyssey Mini Kit - Triton 2 Mini Tank - Black,2,0,,42,42
36,a-omkt2mtg,Aspire Odyssey Mini Kit - Triton 2 Mini Tank - Gold,2,0,,45,45
38,201,Aspire Starter Kit - K1 Tank,1,26,40,28,25.5
39,305,Aspire Nautilus Tank Clearomizer,1,237,24.99,17.6,15.95
40,306,Aspire Nautilus Mini Tank,1,184,24.99,17.6,15.95
41,327,Aspire Atlantis Tank V2,1,0,26,18,16.5
42,a-tt,Aspire Triton Tank,2,0,,19,19
43,307,Aspire Triton 2 Tank,1,12,29,20,18.5
44,313,Aspire Cleito Tank - Black,1,486,21,14,12.5
45,312,Aspire Cleito Tank - Stainless Steel,1,0,19,13,11.5
49,a-pmm-silver,Aspire Pegasus Mini - Silver,2,0,,0,0
50,a-pmm-gold,Aspire Pegasus Mini - Gold,2,0,,0,0
52,505,Aspire Nautilus Mini BVC Coils - 1.6 ohm (3.3-5.0V),1,1000,12.99,8.25,6.6
53,506,Aspire Nautilus Mini BVC Coils - 1.8 ohm (3.3-6.0V),1,1000,12.99,8.25,6.6
55,531,Aspire Atlantis V2 Coils - 0.3 ohm (70-80W),1,189,16.49,11,8.8
56,532,Aspire Atlantis V2 Coils - 0.5 ohm (20-30W),1,501,16.49,11,8.8
58,523,Aspire Triton Coils 0.3 ohm (45-55W),1,33,15,10,8
59,524,Aspire Triton Coils 0.4 ohm (25-30W),1,173,15,10,8
60,525,Aspire Triton Coils 0.5 ohm Clapton (40-45W),1,197,16.49,11,8.8
61,526,Aspire Triton Coils 1.8 ohm Kanthal (10-13W),1,0,16.49,11,8.8
63,527,Aspire Triton Mini Coil NI200 0.15ohm Temperature Control,1,154,11.99,8.25,6.6
64,528,Aspire Triton Mini Coil 1.2ohm Kanthal Coil,1,672,11.99,8.25,6.6
65,529,Aspire Triton Mini Coil 1.8ohm Clapton Coil,1,498,12.99,9,7.5
67,217,Proteus Hookah Head (10 ml),1,0,59.99,38,34.5
68,535,Aspire Proteus Coil (0.25ohm),1,38,4.49,2.5,2.5
69,208,Aspire K2 Kit - Black,1,189,34.99,22.5,21.25
70,206,Aspire K3 Kit - Black,1,150,37.49,25,23.75
71,204,Aspire K4 Kit - Black,1,73,49.99,32.5,31.25
72,202,Aspire Plato All in One Kit - Black,2,0,55,40,36
84,801,Aspire Glass Hookah - GH1,1,0,129.99,65,65
85,802,Aspire Glass Hookah - GH2,1,0,129.99,65,65
86,803,Aspire Glass Hookah - GH3,1,0,129.99,65,65
87,804,Aspire Glass Hookah - GH4,1,0,129.99,65,65
88,805,Aspire Glass Hookah - GH5,1,0,129.99,65,65
89,806,Aspire Glass Hookah - GH6,1,0,129.99,65,65
95,308,Aspire Nautilus X Tank - Stainless Steel,1,7,27.49,18.5,17
96,309,Aspire Nautilus X Tank- Black,1,50,27.99,19,17.5
97,310,Aspire Nautilus X Tank - Gold,1,77,27.99,19,17.5
98,311,Aspire Nautilus X Tank - Limited Edition (Rainbow),2,0,,19,19
100,508,Aspire Nautilus X Coils 1.8 ohm,1,1000,14.99,9.9,8.25
