ENTITYID,SKU,NAME,IMAGE,UPC,STATUS,QTY,MSRP,MSWP,PRICE,WEIGHT,BARCODES
19,a-pknmt,"Aspire Premium Kit - Nautilus Mini Tank",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/t/r/triton_v2_3_1.jpg,,2,0,,38.0000,38,0.1000,
20,a-pkav1t,"Aspire Platinum Kit - Atlantis V1 Tank",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/p/l/platinum_kit.jpg,,2,0,,53.0000,53,0.1000,
21,a-oktv2b,"Aspire Odyssey Kit - Triton V2 Brass",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/p/e/pegasus_brase_gold_kit.jpg,,2,0,,53.0000,53,0.1000,
22,a-oktv2c,"Aspire Odyssey Kit - Triton V2 Chrome",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/p/e/pegasus_chrome.jpg,,2,0,,53.0000,53,0.1000,
23,a-oktv2s,"Aspire Odyssey Kit - Triton V2 Slate",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/o/d/odyssey_slate_.jpg,,2,0,,53.0000,53,0.1000,
34,a-omkt2mts,"Aspire Odyssey Mini Kit - Triton 2 Mini Tank - Silver",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/t/r/triton_mini_chrome.jpg,,2,0,,41.0000,41,0.6375,
35,a-omkt2mtb,"Aspire Odyssey Mini Kit - Triton 2 Mini Tank - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/t/r/triton_mini_slate.jpg,,2,0,,42.0000,42,0.6375,
36,a-omkt2mtg,"Aspire Odyssey Mini Kit - Triton 2 Mini Tank - Gold",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/t/r/triton_mini_brass.jpg,,2,0,,45.0000,45,0.6375,
38,201,"Aspire Starter Kit - K1 Tank",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/0/201_1.jpg,,1,0,40.0000,28.0000,25.5,0.6130,
39,305,"Aspire Nautilus Tank Clearomizer",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/0/305_1.jpg,,1,499,24.9900,17.6000,15.95,0.3188,
40,306,"Aspire Nautilus Mini Tank",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/0/306_1.jpg,,1,788,24.9900,17.6000,15.95,0.2688,
41,327,"Aspire Atlantis Tank V2",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/2/327.jpg,,2,0,26.0000,18.0000,16.5,0.2750,
42,a-tt,"Aspire Triton Tank",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/t/r/triton_tank.jpg,,2,0,,19.0000,19,0.3125,
43,307,"Aspire Triton 2 Tank",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/0/307_1.jpg,,2,0,29.0000,20.0000,18.5,0.3000,
44,313,"Aspire Cleito Tank - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/1/313_2.jpg,,1,107,22.9900,15.5000,13.75,0.2375,
45,312,"Aspire Cleito Tank - Stainless Steel",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/1/312.jpg,,1,7,13.4900,14.5000,12.75,0.2375,
47,a-pm70wbb,"Aspire Pegasus Mod 70W - Brushed Brass",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/p/e/pegasus_brown.jpg,,2,0,,35.0000,35,0.7188,
48,a-pmm-black,"Aspire Pegasus Mini - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire-pegasus-mini-black_copy.jpg,,2,0,,0.0000,0,0.1000,
49,a-pmm-silver,"Aspire Pegasus Mini - Silver",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire-pegasus-mini-silver_copy.jpg,,2,0,,0.0000,0,0.1000,
50,a-pmm-gold,"Aspire Pegasus Mini - Gold",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire-pegasus-mini-gold-copy.jpg,,2,0,,0.0000,0,0.1000,
52,505,"Aspire Nautilus Mini BVC Coils - 1.6 ohm (3.3-5.0V)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/0/505_1.jpg,,1,341,12.9900,8.2500,6.6,0.0500,
53,506,"Aspire Nautilus Mini BVC Coils - 1.8 ohm (3.3-6.0V)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/0/506_1.jpg,,1,0,12.9900,8.2500,6.6,0.0500,
55,531,"Aspire Atlantis V2 Coils - 0.3 ohm (70-80W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/t/atlantis-original-0.3_3.jpg,,1,144,16.4900,11.0000,8.8,0.0750,
56,532,"Aspire Atlantis V2 Coils - 0.5 ohm (20-30W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/t/atlantis-original-0.5.jpg,,1,181,16.4900,11.0000,8.8,0.0750,
58,523,"Aspire Triton Coils 0.3 ohm (45-55W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/2/523_1.jpg,,1,7,16.4900,11.0000,8.8,0.0750,
59,524,"Aspire Triton Coils 0.4 ohm (25-30W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/2/524.jpg,,1,4,16.4900,11.0000,8.8,0.0750,
60,525,"Aspire Triton Coils 0.5 ohm Clapton (40-45W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/2/525.jpg,,1,128,16.4900,11.0000,8.8,0.0750,
61,526,"Aspire Triton Coils 1.8 ohm Kanthal (10-13W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/2/526.jpg,,1,137,16.4900,11.0000,8.8,0.1188,
63,527,"Aspire Triton Mini Coil NI200 0.15ohm Temperature Control",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/2/527.jpg,,1,173,11.9900,8.2500,6.6,0.0500,
64,528,"Aspire Triton Mini Coil 1.2ohm Kanthal Coil",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/2/528_1.jpg,,1,191,11.9900,8.2500,6.6,0.0500,
65,529,"Aspire Triton Mini Coil 1.8ohm Clapton Coil",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/2/529.jpg,,1,121,12.9900,9.0000,7.5,0.0500,
67,217,"Aspire Proteus Hookah Head (10 ml)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/p/r/proteus-kit-front_2.jpg,,1,84,59.9900,38.0000,34.5,1.1063,
68,535,"Aspire Proteus Coil - 0.25ohm",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/3/535.jpg,,1,65,4.4900,2.5000,2.5,0.0250,
69,208,"Aspire K2 Kit - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/0/208_1.jpg,,1,88,34.9900,22.5000,17,0.3813,
70,206,"Aspire K3 Kit - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/0/206_1.jpg,,1,317,37.4900,25.0000,19,0.4000,
71,204,"Aspire K4 Kit - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/0/204_1.jpg,,1,0,49.9900,32.5000,25,0.5250,
72,202,"Aspire Plato All in One Kit - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/0/202_1.jpg,,2,0,55.0000,40.0000,36,0.8380,
84,801,"Aspire Glass Hookah - GH1",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire_glass_hookah_-_gh1.png,,1,0,129.9900,65.0000,55,3.2000,
85,802,"Aspire Glass Hookah - GH2",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire_glass_hookah_-_gh2.png,,1,0,129.9900,65.0000,55,2.8000,
86,803,"Aspire Glass Hookah - GH3",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire_glass_hookah_-_gh3.png,,1,0,129.9900,65.0000,55,3.4000,
87,804,"Aspire Glass Hookah - GH4",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire_glass_hookah_-_gh4.png,,1,0,129.9900,65.0000,55,3.2000,
88,805,"Aspire Glass Hookah - GH5",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire_glass_hookah_-_gh5.png,,1,0,129.9900,65.0000,55,3.2000,
89,806,"Aspire Glass Hookah - GH6",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire_glass_hookah_-_gh6.png,,1,0,129.9900,65.0000,55,3.2000,
95,308,"Aspire Nautilus X Tank - Stainless Steel",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/0/308_1.jpg,,1,108,27.4900,18.5000,16.5,0.1875,
96,309,"Aspire Nautilus X Tank- Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/0/309_1_1.jpg,,1,93,27.9900,19.0000,17,0.1875,
97,310,"Aspire Nautilus X Tank - Gold",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/1/310_1.jpg,,1,52,27.9900,19.0000,17,0.1875,
98,311,"Aspire Nautilus X Tank - Limited Edition (Rainbow)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire_nautilus_x_rainbow.jpg,,2,0,,19.0000,17,0.1880,
100,508,"Aspire Nautilus X Coils 1.8 ohm",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/0/508_2.jpg,,1,216,14.9900,9.9000,8.25,0.1063,
101,514,"Aspire Cleito RTA System",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/1/514_1.jpg,,1,42,13.0000,9.5000,8,0.0688,
102,521,"Aspire Plato Coil 0.4",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/p/l/plato-coil_1.jpg,,1,375,5.4900,3.3000,2.5,0.0438,
103,a-pm70wbc,"Aspire Pegasus Mod 70W - Brushed Chrome",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/p/e/pegasus_silver2.jpg,,2,0,,35.0000,35,0.7188,
104,a-pm70wbs,"Aspire Pegasus Mod 70W - Brushed Slate",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/p/e/pegasus_black2.jpg,,2,0,,35.0000,35,0.7188,
106,203,"Aspire Plato All in One Kit - Grey",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/0/203_1.jpg,,2,0,55.0000,40.0000,36,0.8380,
108,a-bat2500mah,"Aspire 18650 Li-ion Battery 2500 mAh 20 A 3.7V",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/b/a/battery_2500_mah.png,,2,0,,5.0000,4.5,0.1000,
109,511,"Aspire Cleito Coils 0.2 ohm (55-70W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/1/511_1.jpg,,1,79,17.5900,12.1000,10.45,0.1438,
110,513,"Aspire Cleito Coils 0.4 ohm (40-60W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/1/513_1.jpg,,1,1000,17.5900,12.1000,10.45,0.1438,
113,821,"Aspire Hookah Glass Mouthpiece",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/h/o/hookah_glass_mouthpiece_1.png,,1,0,19.9900,10.0000,10,0.1500,
114,822,"Aspire Hookah Replacement Hose",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/h/o/hookah_replacement_hose.png,,1,0,29.9900,15.0000,15,0.4060,
115,823,"Aspire Glass Hookah Bowls",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/g/l/glass_hookah_bowls.png,,1,0,29.9900,15.0000,15,0.2690,
116,824,"Aspire Glass Hookah Release Valve",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/v/a/valve.png,,1,0,9.9900,5.0000,5,0.0440,
117,338,"Aspire Proteus Hookah Tank with Coil (10ml, 0.25ohm)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/3/338.jpg,,1,0,17.4900,13.2000,11,0.1310,
118,807,"Aspire Glass Hookah - GH1 + Proteus Bundle",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/g/h/gh1prot.jpg,,1,0,179.9900,90.0000,80,4.2000,
119,808,"Aspire Glass Hookah - GH2 + Proteus Bundle",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/g/h/gh2prot.jpg,,1,0,179.9900,90.0000,80,4.0000,
120,809,"Aspire Glass Hookah - GH3 + Proteus Bundle",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/g/h/gh3prot.jpg,,1,0,179.9900,90.0000,80,4.4000,
121,810,"Aspire Glass Hookah - GH4+ Proteus Bundle",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/g/h/gh4prot.jpg,,1,0,179.9900,90.0000,80,4.4000,
122,811,"Aspire Glass Hookah - GH5 + Proteus Bundle",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/g/h/gh5-proteus_1.jpg,,1,0,179.9900,90.0000,80,4.4000,
123,812,"Aspire Glass Hookah - GH6 + Proteus Bundle",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/g/h/gh6-proteus_1.jpg,,1,0,179.9900,90.0000,80,4.4000,
125,501,"Aspire BVC K1 Coils 1.6 ohm (3.0-4.2V)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/b/v/bvck1-60hm_2.jpg,,1,1000,9.9900,6.0000,5,0.0375,
126,502,"Aspire BVC K1 Coils 1.8 ohm (4.2-5.0V)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/b/v/bvck1-80hm.jpg,,1,1000,9.9900,6.0000,5,0.0375,
128,507,"Aspire Nautilus X Coils 1.5 ohm (14-20W)",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/0/507_1.jpg,,1,98,14.9900,9.9000,8.25,0.1063,
130,510,"Aspire Nautilus X Adapter - 4ML",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/1/510_1.jpg,,1,151,5.9900,3.3000,2.5,0.0313,
131,517,"Aspire Cleito 5ml Glass",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/5/1/517.jpg,,1,212,4.4900,3.3000,2.2,0.0375,
132,317,"Aspire K1 Tank",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/1/317_1.jpg,,1,1000,7.9900,5.5000,4.7,0.0688,
133,212,"Aspire EVO75 Kit - White",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/1/212.jpg,,2,0,55.0000,36.0000,34,0.6940,
134,211,"Aspire EVO75 Kit - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/1/211_3.jpg,,2,0,55.0000,36.0000,34,0.6940,
135,210,"Aspire EVO75 Kit - Stainless Steel",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/2/1/210_3.jpg,,2,0,55.0000,36.0000,34,0.6940,
137,401,"Aspire NX75 Zinc Alloy - Stainless steel",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/e/v/evo-75-zync-front.jpg,,2,0,42.9900,28.0000,26.5,0.5688,
138,403,"Aspire NX75 Zinc Alloy - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/e/v/evo-75-black-front.jpg,,2,0,42.9900,28.0000,26.5,0.5688,
139,402,"Aspire NX75 Zinc Alloy - White",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/e/v/evo-75-white-front.jpg,,2,0,42.9900,28.0000,26.5,0.5688,
140,404,"Aspire NX75 Zinc Alloy - Red",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/n/x/nx75-cvc-red-front.jpg,,1,0,42.9900,28.0000,26.5,0.5688,
142,331,"Aspire Atlantis EVO Tank Standard - Stainless Steel",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/3/331.jpg,,1,15,16.0000,12.0000,10,0.1375,
143,332,"Aspire Atlantis EVO Tank Standard - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/3/332.jpg,,2,0,17.0000,12.5000,10.5,0.1560,
144,333,"Aspire Atlantis EVO Tank Standard - White",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/3/333_1.jpg,,1,56,17.0000,12.5000,10.5,0.1375,
146,330,"Aspire Atlantis EVO Tank Extended - White",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/3/330.jpg,,1,62,19.0000,13.5000,11.5,0.1563,
147,329,"Aspire Atlantis EVO Tank Extended - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/2/329.jpg,,2,0,20.9900,14.8500,12.65,0.1563,
148,328,"Aspire Atlantis EVO Tank Extended - Stainless Steel",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/3/2/328.jpg,,1,23,18.0000,13.0000,11,0.1563,
151,410,"Aspire NX75 CNC Edition (NX75-S & NX75-A) - NX75S",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/a/s/aspire_nx_75_cnc_edition_silver_1.jpg,,2,0,,55.0000,53,0.6880,
152,405,"Aspire NX75 CNC Edition (NX75-S & NX75-A) - Black",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/n/x/nx75-cvc-black-front_1.jpg,,1,27,77.9900,45.0000,43,0.4250,
153,406,"Aspire NX75 CNC Edition (NX75-S & NX75-A) - Silver",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/n/x/nx75-cvc-sivler-front_1.jpg,,1,35,77.9900,45.0000,43,0.4250,
154,408,"Aspire NX75 CNC Edition (NX75-S & NX75-A) - Grey",https://wholesale.aspirevapeco.com/media/catalog/product/cache/0/image/560x800/0dc2d03fe217f8c83829496872af24a0/n/x/nx75-cvc-grey-front_1.jpg,,1,92,77.9900,45.0000,43,0.4250,
